kind,name,url,filter,stateId
url,South Carolina,https://scdhec.gov/monitoring-testing-covid-19,"css:table:contains(""Negative tests""),html2text",SC
url,South Dakota,https://doh.sd.gov/news/Coronavirus.aspx,"css:table.MsoTableGrid,html2text,strip",SD
url,Tennessee,https://www.tn.gov/health/cedep/ncov.html,"css:table:contains(""Laboratory Type""),html2text",TN
url,Texas,https://services5.arcgis.com/ACaLB9ifngzawspq/arcgis/rest/services/COVID19County_ViewLayer/FeatureServer/0/query?f=json&where=Count_%3C%3E0&returnGeometry=false&spatialRel=esriSpatialRelIntersects&outFields=*&orderByFields=Count_%20desc&outSR=102100&resultOffset=0&resultRecordCount=254&cacheHint=true,,TX
url,Utah,https://coronavirus-dashboard.utah.gov/,"css:#row,html2text,strip",UT
url,Virginia,https://phantomjscloud.com/api/browser/v2/ak-7r01w-m166n-bm6wx-r4vn0-4m2m9/?request=%7Burl%3A%27https%3A%2F%2Fpublic.tableau.com%2Fviews%2FVirginiaCOVID-19Dashboard%2FVirginiaCOVID-19Dashboard%3F%3Aembed%3Dyes%26%3Adisplay_count%3Dyes%26%3AshowVizHome%3Dno%26%3Atoolbar%3Dno%27%2C%20renderType%3A%20%27jpg%27%7D,"ocr,clean-new-lines",VA
url,Vermont,https://www.healthvermont.gov/response/infectious-disease/2019-novel-coronavirus,"css:.field-body table,html2text",VT
url,Washington,"https://phantomjscloud.com/api/browser/v2/ak-7r01w-m166n-bm6wx-r4vn0-4m2m9/?request={url:%22https://www.doh.wa.gov/Emergencies/Coronavirus%22,renderType:%22html%22,%22requestSettings%22:{%22doneWhen%22:%20[{%22selector%22:%22table%22}]}}","css:.row table,html2text",WA
url,Wisconsin,https://services1.arcgis.com/ISZ89Z51ft1G16OK/arcgis/rest/services/COVID19_WI/FeatureServer/2/query?f=html&where=1%3D1&outFields=NEGATIVE%2CPOSITIVE%2CDEATHS%2CDATE&returnGeometry=false,"css:.ftrTable,html2text,strip",WI
url,West Virginia,https://phantomjscloud.com/api/browser/v2/ak-7r01w-m166n-bm6wx-r4vn0-4m2m9/?request=%7Burl%3A%27https%3A%2F%2Fdhhr.wv.gov%2FCOVID-19%2FPages%2Fdefault.aspx%27%2C%20renderType%3A%20%27html%27%7D,"css:.bluebkg table .row,html2text",WV
url,Wyoming,https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/novel-coronavirus/,"css:.et_pb_text_inner:contains(""Testing Numbers""),html2text",WY
url,Commonwealth of the Northern Mariana Islands,https://www.chcc.gov.mp/coronavirusinformation.php,"css:.bannerback,html2text",MP
url,Guam,https://ghs.guam.gov/coronavirus-covid-19,"css:.Blog .post:contains(""COVID"") .post-content,html2text,strip",GU
url,Puerto Rico,http://www.salud.gov.pr/Pages/coronavirus.aspx,"css:.ms-rtestate-field > table,html2text,strip",PR
url,Virgin Islands,https://doh.vi.gov/,"css:.page-content-sidebar .block:contains(""COVID-19""),html2text,strip",
